ID	Reviews	Labels
971	已经在使用了，很满意，服贴不卡粉，很好。与哈利勒同学普通葡萄牙语哦什么加油站我说	O O O O O O O B-pos I-pos I-pos O B-pos I-pos B-pos I-pos I-pos O B-pos I-pos O O O O O O O O O O O O O O O O O O O O O
972	不错！挺好的	B-pos I-pos O B-pos I-pos I-pos
973	赠品很好，补水美白，好好好	B-zhengti I-zhengti B-pos I-pos O B-pos I-pos B-pos I-pos O B-pos O O
974	还行吧 对我来说有点干 不知道为什么其他都还行的	B-pos I-pos I-pos O O O O O B-neg I-neg I-neg O O O O O O O O O O B-pos I-pos O
975	买33片送20片，好大一包，试用了一下挺好用的，下次再来	O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O
976	买了好多**特别给力给快递五分	O O O O O O B-pos I-pos I-pos I-pos O B-wuliu I-wuliu O O
977	老品牌啦 效果比以前更好了	O O O O O O O O O O B-pos I-pos O
978	蛮好的，划算	B-pos I-pos I-pos O B-pos I-pos
979	面膜用了好久才来评价，很好用敷过之后水水润润的，又实惠，是一款很不错的面膜	O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos I-pos O O B-pos I-pos O O O O B-pos I-pos I-pos O O O
980	不油腻，好用	B-pos I-pos I-pos O B-pos I-pos
981	收到了  面膜效果非常不错**发货也非常给力  赞一下	O O O O O O O O O B-pos I-pos I-pos I-pos O O B-wuliu I-wuliu O B-pos I-pos I-pos I-pos O O B-pos I-pos I-pos
982	还不错，挺好用的是正品	B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos
983	买的自然色，还是有点白。不过挺保湿，对得起这个价位，**老客户！	O O O O O O O O B-neg I-neg I-neg O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O
984	个人面膜还是不错的吧，第一次用哦。	O O O O O O B-pos I-pos O O O O O O O O O
985	听朋友介绍的说很好用就买来试试，价格也合适	O O O O O O O B-pos I-pos I-pos O O O O O O B-jiage I-jiage O B-pos I-pos
986	很不错的，看着包装比较好，很喜欢，只是还没有试用，防晒的看起来有点小	B-pos I-pos I-pos O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O O O O B-neg I-neg I-neg
987	回购的面膜，效果不错，还很便宜呢	O O O O O O O O B-pos I-pos O O B-pos I-pos I-pos O
988	超级喜欢，微微一点白，薄薄的很舒服，以后还会购买	B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos I-pos O B-pos I-pos I-pos B-pos I-pos I-pos O O O O O O O
989	商品是正品哦，质量棒棒哒，**的服务跟物流一样棒哦	O O B-pos I-pos I-pos O O B-qita I-qita B-pos I-pos I-pos O O O O B-wuliu I-wuliu O B-wuliu I-wuliu O O B-pos O
990	很好，朋友喜欢。**可以是保险的推荐，选择**！	B-pos I-pos O O O B-pos I-pos O O O O O O O O O O O O O O O O O
991	水水的，很舒服，很清爽	B-pos I-pos I-pos O B-pos I-pos I-pos O B-pos I-pos I-pos
992	非常好 很喜欢 细腻不油腻 很好用	B-pos I-pos I-pos O B-pos I-pos I-pos O B-pos I-pos B-pos I-pos I-pos O B-pos I-pos I-pos
993	终于没忍住，买了，味道很好闻，上妆效果很好，值得推荐，如果配点小赠品就更好了，！	O O O O O O O O O B-qiwei I-qiwei B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O O O O O O O O O O O O O O O O O O O
994	一直都用，非常棒，经济实惠，非常棒赠品好多包装挺好	O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos O O O O B-jiage I-jiage B-pos I-pos B-baozhuang I-baozhuang B-pos I-pos
995	贵呀	B-neg O
996	还没用，看着不错，好评哦	O O O O O O B-pos I-pos O B-pos I-pos O
997	我还是更喜欢用另一款洗面奶，这款还好	O O O O O O O O O O O O O O O O B-pos I-pos
998	是假的，拿去检测了	O B-neg I-neg O O O O O O
999	面膜第一次用感觉没有多大效果，，继续使用看看，，稍后再来评论，	O O O O O O O O B-neu I-neu I-neu I-neu I-neu I-neu O O O O O O O O O O O O O O O O O
1000	用了好久才来追评，忘记了，非常满意，很喜欢，态度好，物流也特别快给满分	O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos I-pos O B-fuwu I-fuwu B-pos O B-wuliu I-wuliu O B-pos I-pos I-pos O O O
1001	面膜试用了，效果很好，是正品，和实体店一样	O O O O O O O O B-pos I-pos O B-pos I-pos I-pos O O O O O O O
1002	滋润及保湿：�保思个啦	O O O B-gongxiao I-gongxiao O O O O O O
1003	首先不得不说99元买还有两个替换装很划算，其次今天试用了，味道很好闻，很自然。	O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O B-qiwei I-qiwei B-pos I-pos I-pos O B-pos I-pos I-pos O
1004	看起来不错还有赠品，希望是正品就好	O O O O O O O B-jiage I-jiage O B-neu I-neu I-neu I-neu I-neu O O
1005	看着还可以 还没有用	O O B-pos I-pos I-pos O O O O O
1006	很服帖，精华液也多，用完皮肤滑滑的嫩嫩的	B-pos I-pos I-pos O B-chengfen I-chengfen I-chengfen O B-pos O O O O O B-pos I-pos I-pos B-pos I-pos I-pos
1007	还不错，包装完整，挺清爽的	B-pos I-pos I-pos O B-baozhuang I-baozhuang B-pos I-pos O B-pos I-pos I-pos I-pos
1008	非常喜欢，物超所值。超赞，物流还常快，商家服务好。?	B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos O B-pos I-pos O B-wuliu I-wuliu O B-pos I-pos O B-fuwu I-fuwu I-fuwu I-fuwu B-pos O O
1009	以前一直用的是***的，这次换成了***的，这款比***的粘稠些，也挺好用的，也很好推开，好评。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O B-pos I-pos I-pos I-pos O O B-pos I-pos I-pos I-pos O B-pos I-pos O
1010	清洁能力：泡沫适中，非常舒适，对黑头有一定的清洁作用	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-shiyongtiyan I-shiyongtiyan B-pos I-pos O B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos I-pos O O O O
1011	不错的哦，第一次买，感觉还好，服务态度很好！	B-pos I-pos O O O O O O O O O O B-pos I-pos O B-fuwu I-fuwu I-fuwu I-fuwu B-pos I-pos O
1012	发货速度非常快，正品，还会继续回购，给五星好评	B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos I-pos O B-pos I-pos O O O O O O O O O B-pos I-pos I-pos I-pos
1013	20片装，包装不是普通的塑料袋，像是那种开菲尔奶的那个包装，特别好撕，补水效果不错！	O O O O O B-baozhuang I-baozhuang O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O
1014	东西收到了，包装也很细心，具体如何还没试，所以也不知道	O O O O O O B-baozhuang I-baozhuang O B-pos I-pos I-pos O O O O O O O O O O O O O O O
1015	快递挺给力，还没用的，以后再用一下	B-wuliu I-wuliu B-pos I-pos I-pos O O O O O O O O O O O O
1016	非常好用，喜欢	B-pos I-pos I-pos I-pos O B-pos I-pos
1017	挺好用的，颜色比较均匀，用完还会回购	B-pos I-pos I-pos I-pos O B-gongxiao I-gongxiao B-pos I-pos I-pos I-pos O O O O O O O
1018	满意满意十分好评，感觉洗得挺舒服的&hellip	B-pos I-pos O O O O B-pos I-pos O O O O O B-pos I-pos I-pos I-pos O O O O O O O
1019	第一次用这个洗面奶，感觉还可以，等用段时间，在来追评	O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O
1020	遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了！	B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O O O B-qiwei I-qiwei B-neg I-neg I-neg I-neg O O O O O O O O O O O O
1021	一直在用的，效果不错。我是敏感肌，不能用含有香精，酒精成分的化妆品，这款面膜用了不刺激，刚刚好	O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O
1022	很好用很服帖，比我想象中的效果要好很多	B-pos I-pos I-pos B-pos I-pos I-pos O O O O O O O O O O B-pos I-pos I-pos
1023	包装很好，一点都没有破损，物流很快，昨天买的，今天就到了，还会回购	B-baozhuang I-baozhuang B-pos I-pos O O O O B-pos I-pos I-pos I-pos O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O O O
1024	感觉挺好用的，洗完后不紧绷	O O B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos
1025	已经使用过了，不错	O O O O O O O B-pos I-pos
1026	一直用***，好用	O O O O O O O B-pos I-pos
1027	??***人鱼公主面膜贴33片装（水养面膜20pc+雪润面膜13片）女海藻补水保湿提亮清洁收缩毛孔	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos B-pos I-pos B-pos I-pos B-pos I-pos B-pos I-pos I-pos I-pos
1028	这款面膜我用了好多年了，用的一直挺好的，挺喜欢的大家放心购买。	O O O O O O O O O O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O O O
1029	当日达，到了就打开用了，物有所值吧	O O O O O O O O O O O O B-pos I-pos I-pos I-pos O
1030	物流很快啊我都用上了	B-wuliu I-wuliu B-pos I-pos O O O O O O
1031	东西不错，大小也合适。补水效果不错呦。	O O B-pos I-pos O B-chicun I-chicun O B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O
1032	用着觉得一般化，气垫扑太厚了。	O O O O B-neu I-neu O O O O O B-neg I-neg O O
1033	有一点淡淡的香味，很好用保湿效果不错	O O O B-pos I-pos I-pos B-qiwei I-qiwei O B-pos I-pos I-pos B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos
1034	面膜好用补水，	O O B-pos I-pos B-pos I-pos O
1035	用了两次，感觉还不错，挺通透的	O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1036	***值得信赖，**值得信赖，满意	O O O O O O O O O O O O O O O B-pos I-pos
1037	帮妈妈买的，妈妈觉得很喜欢	O O O O O O O O O O B-pos I-pos I-pos
1038	用着挺好的，第二次购买想要的可以放心，	O O B-pos I-pos I-pos O O O O O O O O O O O O O O
1039	一直用的这个，很满意哦！！！！	O O O O O O O B-pos I-pos I-pos O O O O O
1040	宝贝收到了，**物流非常快，包装很好，希望使用效果也好	O O O O O O O O B-wuliu I-wuliu B-pos I-pos I-pos O B-baozhuang I-baozhuang B-pos I-pos O O O O O O O O O
1041	还没用，感觉还不错吧，之前没有用过，这次做活动几天买了两包试试	O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O B-jiage I-jiage O O O O O O O O
1042	囤货中，还没用，补水应该是没什么问题，毕竟这么便宜，要求也不能太多	O O O O O O O O B-gongxiao I-gongxiao O O O B-pos I-pos I-pos I-pos I-pos O O O O O B-pos I-pos O O O O O O O O
1043	喜欢，信赖**，好评	B-pos I-pos O O O O O O O O
1044	非常满意，物美价廉，一直在用这款产品，非常好用	B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos
1045	刚收到，包装很喜欢?，，，，，还没有用，不知道好不好用	O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O
1046	很多精华液，面膜纸是薄透的，期待效果	B-pos I-pos B-chengfen I-chengfen I-chengfen O B-shiyongtiyan I-shiyongtiyan I-shiyongtiyan O B-pos I-pos O O O O O O
1047	洗面奶跟之前买的是一样的，还不错	O O O O O O O O O O O O O B-pos I-pos I-pos
1048	皮肤有点敏感用起来还是比较温和的	O O O O O O O O O O O B-pos I-pos I-pos I-pos O
1049	一直信赖**，还不错，希望价格多多促销，多多优惠	O O O O O O O B-pos I-pos I-pos O O O B-jiage I-jiage B-pos I-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1050	这次买的是最好用的一次！还会再次购买！	O O O O O B-pos I-pos I-pos O O O O O O O O O O O
1051	挺好用的，以前皮肤很容易过敏，用了好多种都过敏，用了这套后就慢慢不过敏了，用完继续	B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1052	持妆和控油效果都不错，遮暇一般般	B-gongxiao I-gongxiao O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos O B-gongxiao I-gongxiao B-neu I-neu I-neu
1053	上午下单下午到，就喜欢在**上购物不用等，宝贝不错下次还会光顾	O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos O O O O O O
1054	双12活动买的，还没开始用不知道怎么样，总之喜欢在**购买东西，快	O O O B-jiage I-jiage O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos
1055	物流快，一直用的***	B-wuliu I-wuliu B-pos O O O O O O O O
1056	看评论说挺好的，买了两瓶。看着不错，还没用。过一阵用完之后再来评价！	O O O O B-pos I-pos I-pos O O O O O O O O B-pos I-pos O O O O O O O O O O O O O O O O O
1057	老卖家了，非常不错，值得购买，下次再来???好好好好好好好好好	O O O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O
1058	快递很速度	B-wuliu I-wuliu B-pos I-pos I-pos
1059	一般般吧，要弄很多才有泡泡，没之前买的***好用	B-neu I-neu I-neu O O O O O O O O O O O O O O O O O O O O O
1060	很好，很喜欢。建议购买。我还分了一盒给我妈，我觉得卸妆也挺好的，还有泡沫很多哦	B-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao O B-pos I-pos I-pos O O O B-shiyongtiyan I-shiyongtiyan B-pos I-pos O
1061	很好用的，平时用的少，偶尔用用不错。	B-pos I-pos I-pos O O O O O O O O O O O O B-pos I-pos O
1062	东西还没拆开，不过店家还送了两个替换芯，挺划算的，好评	O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos
1063	东西看着还不错，用完再来评论吧	O O O O B-pos I-pos I-pos O O O O O O O O
1064	在手上试了一下，不油腻，很自然，味道很好闻，不知出汗后怎样，用的好后会追评，物流很快，满意！	O O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos O B-qiwei I-qiwei B-pos I-pos I-pos O O O O O O O O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos O B-pos I-pos O
1065	味道不是很喜欢，感觉怪怪的	B-qiwei I-qiwei B-neg I-neg I-neg I-neg I-neg O O O B-neg I-neg I-neg
1066	物流配送非常快，第二天就到了。买的是自然色还有香味，老婆很喜欢	B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos I-pos O O O O O O O O O O O O O O O O B-qiwei I-qiwei O O O B-pos I-pos I-pos
1067	一直相信***，双12价格确实划算又有赠品	O O O O O O O O O O O O O O O B-pos I-pos O O B-jiage I-jiage
1068	一直用***产品，挺好不错，刚拍的时候说正在补货，不过到的也挺快	O O O O O O O O O B-pos I-pos B-pos I-pos O O O O O O O O O O O O O O O O O B-pos I-pos
1069	货己收到，物流很快，还没用，暂不作评价。	O O O O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O
1070	用**一年多了，物流快，还有满减，很划算，多次购买了我，回头客。	O O O O O O O O B-wuliu I-wuliu B-pos O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O
1071	大品牌，好面膜，~格，高送货，必须五星好评啊	O O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O
1072	宝贝已收到，质量很好，是正品，和卖家描述的一致，物流也很快	O O O O O O O O B-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O B-wuliu I-wuliu O B-pos I-pos
1073	非常好 跟之前店里买的一样	B-pos I-pos I-pos O O O O O O O O O O
1074	很划算买一送一，看包装不错，一直都信任****的东西，很满意**的东西，也信任****的店	B-pos I-pos I-pos O O O O O O B-baozhuang I-baozhuang B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1075	很小，不大好	B-neg I-neg O B-neg I-neg I-neg
1076	很不错。不是特别显白，很自然的一款。大家可以放心购买。快递也超快。	B-pos I-pos I-pos O B-pos I-pos I-pos I-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O O O O O O O O B-wuliu I-wuliu O B-pos I-pos O
1077	干巴巴的一点都不水润，面贴很硬也不好使！下次还是买水密码的	B-neg I-neg I-neg O B-neg I-neg I-neg I-neg I-neg I-neg O O O B-neg I-neg B-neg I-neg I-neg I-neg O O O O O O O O O O
1078	乳液可以，就是物流运输时把瓶盖给弄碎了	O O B-pos I-pos O O O O O O O O O B-wuliu I-wuliu O O B-neg I-neg
1079	宝贝收到了，小海狮和汐漫态度非常好哦	O O O O O O O O O O O O B-fuwu I-fuwu B-pos I-pos I-pos O
1080	很好用的宝贝 用起来很舒服 一直用这个牌子的	B-pos I-pos I-pos O O O O O O O B-pos I-pos I-pos O O O O O O O O O
1081	刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到	O O O O O O O O O O O O O O O O O O B-wuliu I-wuliu B-pos I-pos B-wuliu I-wuliu B-pos I-pos O O O O O B-jiage I-jiage O O O O O O O B-pos I-pos I-pos
1082	相信**，能买的都在**买，五星好评！继续支持！	O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O
1083	物流超级给力，质量很好，价格也合适	B-wuliu I-wuliu B-pos I-pos I-pos I-pos O O O B-pos I-pos O B-jiage I-jiage O B-pos I-pos
1084	洗完好干燥。	O O B-neg I-neg I-neg O
1085	很好用的面膜，敷完脸很舒服很水润	B-pos I-pos I-pos O O O O O O O B-pos I-pos I-pos B-pos I-pos I-pos
1086	整体用的不错，比实体店便宜好多，划算	O O O O B-pos I-pos O O O O O B-pos I-pos I-pos I-pos O B-pos I-pos
1087	好好好好好	B-pos O O O O
1088	还不错，遮瑕提亮效果不错，就是稍有点干，皮肤不好的时候会起皮。	B-pos I-pos I-pos O B-gongxiao I-gongxiao B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos I-pos O O O O B-neg I-neg I-neg O O O O O O O O O B-neg I-neg O
1089	快递，很快，没用过，帮别人买的	B-wuliu I-wuliu O B-pos I-pos O O O O O O O O O O
1090	感觉很不错的样子	O O B-pos I-pos I-pos O O O
1091	东西太一般了没有说的那么好并且还干，干死了。去哪里找湿润	O O B-neg I-neg I-neg I-neg O O O O O O O O O O O O B-neg I-neg I-neg O O O O O O O
1092	快递速度很快，还没用，包装看起来不错	B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos O O O O O B-baozhuang I-baozhuang O O O B-pos I-pos
1093	好用，朋友推荐的，增白遮瑕，摸了隔离就可以出门，适合我这种懒人	B-pos I-pos O O O O O O O B-pos I-pos B-pos I-pos O O O O O O O O O O O O O O O O O O
1094	申通快递走了一周多&hellip	O O B-wuliu I-wuliu O O O O O O O O O O O O
1095	很干净 方便 赠送的也很好用 很大一瓶 化妆棉很大一包	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O
1096	用了一段时间，还不错，挺好用的	O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1097	不贴很容易掉粉，浮粉	B-neg I-neg B-neg I-neg I-neg I-neg I-neg O B-neg I-neg
1098	面膜收到了一直用***化妆品和面膜挺好用	O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
1099	收到后第一时间使用了一下，感觉还可以，以后再追评	O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O
1100	东西还不错！速度很快！买来送人的希望能有礼品袋	O O B-pos I-pos I-pos O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O
1101	好没用	B-neg I-neg I-neg
1102	可以啊，提好用的哈！！！	B-pos I-pos I-pos O B-pos I-pos I-pos O O O O O
1103	持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的。	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neu I-neu O B-wuliu I-wuliu B-pos I-pos O O
1104	买过多次了，这次的盖子松的，其余都还行	O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos O O O O B-pos I-pos
1105	第一次使用***系列的面膜，营养液很充足，敷玩脸还可以贴贴脖子，	O O O O O O O O O O O O O O B-chengfen I-chengfen I-chengfen B-pos I-pos I-pos O O O O O O O O O O O O
1106	还行，精华多 护肤一套用 今年入的***水 乳 面霜面膜 期待用完效果	B-pos I-pos O B-chengfen I-chengfen B-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1107	效果不错，喜欢的可以购买	O O B-pos I-pos O O O O O O O O
1108	刚刚收到货，闻着味不错，晚上试试效果	O O O O O O O O B-qiwei B-pos I-pos O O O O O O O
1109	用了乳液感觉还可以	O O O O O O B-pos I-pos I-pos
1110	物流很快，经常用这款面膜，效果比较好。	B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O B-pos I-pos I-pos O
1111	第二次买了，非常好用。	O O O O O O B-pos I-pos I-pos I-pos O
1112	一直在用这个品牌，挺好用的	O O O O O O O O O B-pos I-pos I-pos I-pos
1113	该商品打开每片水份几乎没有了，很干，贴在脸上没有水份，水全流袋子里了	O O O O O O O B-chengfen I-chengfen B-neg I-neg I-neg I-neg O O B-neg I-neg O O O O O O O O O O O O O O O O O
1114	太差了，，粉浮着，而且量特别少，	B-neg I-neg I-neg O O B-neu I-neu I-neu O O O O B-neg I-neg I-neg O
1115	还可以，量多～～～能用好久～～～	B-pos I-pos I-pos O B-qita B-pos O O O O O O O O O O
1116	面膜非常好用，非常好用，非常好用，非常好用	O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O
1117	很喜欢，我肤色有点暗黄，还怕会假白呢，结果颜色正好。做活动的时候买的，还挺划算的。	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao B-pos I-pos O O B-jiage I-jiage O O O O O O O B-pos I-pos I-pos I-pos O
1118	一直都在用！好好的！	O O O O O O B-pos I-pos I-pos O
1119	还可以，挺服帖的，味道也好闻，还会回购的	B-pos I-pos I-pos O B-pos I-pos I-pos O O B-qiwei I-qiwei O B-pos I-pos O O O O O O
1120	两瓶大的还送了两瓶小样试用。非常的实惠，拿着一箱都非常的沉，能用很久了性价比真高	O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O B-jiage I-jiage I-jiage B-pos I-pos
1121	第一次购买，味道很好闻，不知效果怎么样送货很快，**给力，谢谢期待效果	O O O O O O B-qiwei I-qiwei B-pos I-pos I-pos O O O O O O O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O
1122	刚刚用了一片，挺薄也贴肤，用了没有过敏，脸也不痒，总之还可以，用一段时间再来追求评。	O O O O O O O B-pos I-pos O B-pos I-pos O O O B-pos I-pos I-pos I-pos O O O B-pos I-pos O O O B-pos I-pos I-pos O O O O O O O O O O O O
1123	刚刚拆开，还没有有用，整体感觉还不错，待用过后在追评！	O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O
1124	挺不错的，特意用过之后才来评价，一直用***护肤，实力圈粉！	B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O
1125	不干不紧绷 非常好 物流也快	B-pos I-pos B-pos I-pos I-pos O B-pos I-pos I-pos O B-wuliu I-wuliu O B-pos
1126	小小一瓶，一直想找这种有均匀肤色的隔离，霜状的很好推开，效果不错。	O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O B-pos I-pos I-pos I-pos O O O B-pos I-pos O
1127	东西收到了有点失望，日期不是新的很近至于产品就不知道怎样了	O O O O O B-neg I-neg I-neg I-neg O B-xinxiandu I-xinxiandu B-neg I-neg I-neg I-neg O O O O O O O O O O O O O
1128	宝贝到家了，第一次买这款隔离，看包装挺好的，用好了下次再买	O O O O O O O O O O O O O O O O B-baozhuang I-baozhuang B-pos I-pos I-pos O O O O O O O O
1129	买了两套送了一套赠品??，不过产品很好用，也无所谓了，还会继续支持	O O O O O O O O B-jiage I-jiage O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O
1130	为了***，***指哪我们买哪！！！！不过***的面膜也是很不错的啦，特别水润的哦～	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O B-pos I-pos I-pos I-pos O O O
1131	暂时还没用，，以前的还没用完，试了一下感觉还行，有送一个小样乳液，味道淡淡的	O O O O O O O O O O O O O O O O O O O O O B-pos I-pos O O O O O O O O O O B-qiwei I-qiwei B-neu I-neu I-neu
1132	总觉得太香了	O O O B-neg I-neg I-neg
1133	一直在用这个牌子的隔离，很好，粉质细腻。比较好推开。好评	O O O O O O O O O O O O B-pos I-pos O B-shiyongtiyan I-shiyongtiyan B-pos I-pos O B-pos I-pos I-pos I-pos I-pos O B-pos I-pos
1134	朋友介绍买的，很好用，家里的东西基本都在**买，**值得信赖	O O O O O O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O
1135	这么的很白，快递很快，就是有点油亮油亮的。感觉有点痒，不会过敏吧	O O O B-pos I-pos O B-wuliu I-wuliu B-pos I-pos O O O O O B-neg I-neg I-neg I-neg O O O O O O O O O O O O O
1136	一直用这个款的隔离，不错哦，很自然又很好推开	O O O O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos O B-pos I-pos I-pos I-pos
1137	我皮肤不太适合，我个人不太喜欢，送的东西很多，可以跟正品一样多了，这个倒是很划算	O O O O O O O O O O O B-neg I-neg I-neg I-neg O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos
1138	还可以，就是用之前一点要注意保湿，不然脸会干的脱皮	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O B-neg I-neg I-neg I-neg
1139	很好 泡沫很细腻。	B-pos I-pos O B-shiyongtiyan I-shiyongtiyan B-pos I-pos I-pos O
1140	挺好的，遮瑕效果好	B-pos I-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos
1141	还没用，看着还不错	O O O O O O B-pos I-pos I-pos
1142	非常好用，非常香，以后接着买	B-pos I-pos I-pos I-pos O B-pos I-pos I-pos O O O O O O
1143	第二次购买了，自己觉得还挺好的	O O O O O O O O O O O B-pos I-pos I-pos I-pos
1144	明明写的唇眼可用，没想到那么辣眼睛，味道也刺鼻，太失望了	O O O O O O O O O O O O O O B-neg I-neg I-neg O B-qiwei I-qiwei O B-neg I-neg O B-neg I-neg I-neg I-neg
1145	总体不错，保湿效果一般	O O B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neu I-neu
1146	是正品。买几次了，非常好用。	B-pos I-pos I-pos O O O O O O B-pos I-pos I-pos I-pos O
1147	比较显白，有一点淡淡的香味，发货速度挺快	B-pos I-pos I-pos I-pos O O O O B-pos I-pos I-pos B-qiwei I-qiwei O B-wuliu I-wuliu I-wuliu I-wuliu B-pos I-pos
1148	很实惠，送了2个替换装，买回来就试用了一下，保湿效果好，遮暇，不过容易油	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-pos O B-pos I-pos O O O B-neg I-neg I-neg
1149	个人情况：皮肤暗沉偏黄 上妆效果：效果服帖且显白 持久情况：基本大半天吧	O O O O O O O O O O O O O O O O O O O B-pos I-pos O B-pos I-pos O O O O O O O O O O O O
1150	还没用，应该不错吧	O O O O O O B-pos I-pos O
1151	价位经济实惠，这款面膜用着挺好的，挺补水的	B-jiage I-jiage B-pos I-pos B-pos I-pos O O O O O O O B-pos I-pos I-pos O B-pos I-pos I-pos O
